target,language,instances,memory
docker,go,10,36
docker,go,20,61
docker,go,30,102
docker,go,40,152
docker,go,50,209
docker,go,60,244
docker,go,70,288
docker,go,80,343
docker,go,90,377
docker,go,100,441
docker,node,10,143
docker,node,20,303
docker,node,30,467
docker,node,40,619
docker,node,50,786
docker,node,60,933
docker,node,70,1107
docker,node,80,1262
docker,node,90,1424
docker,node,100,1583
gvisor,go,10,247
gvisor,go,20,486
gvisor,go,30,724
gvisor,go,40,970
gvisor,go,50,1230
gvisor,go,60,1486
gvisor,go,70,1729
gvisor,go,80,1974
gvisor,go,90,2244
gvisor,go,100,2493
gvisor,node,10,371
gvisor,node,20,746
gvisor,node,30,1121
gvisor,node,40,1505
gvisor,node,50,1888
gvisor,node,60,2275
gvisor,node,70,2666
gvisor,node,80,3043
gvisor,node,90,3427
gvisor,node,100,3810
linux,go,10,585
linux,go,20,1187
linux,go,30,1794
linux,go,40,2401
linux,go,50,3011
linux,go,60,3608
linux,go,70,4211
linux,go,80,4830
linux,go,90,5431
linux,go,100,6040
linux,node,10,1042
linux,node,20,2132
linux,node,30,2645
linux,node,40,3696
linux,node,50,4775
linux,node,60,5857
linux,node,70,6860
linux,node,80,7386
linux,node,90,8453
linux,node,100,9525
nanos,go,10,220
nanos,go,20,472
nanos,go,30,714
nanos,go,40,960
nanos,go,50,1215
nanos,go,60,1458
nanos,go,70,1685
nanos,go,80,1928
nanos,go,90,2170
nanos,go,100,2413
nanos,node,10,1545
nanos,node,20,3147
nanos,node,30,4985
nanos,node,40,6413
nanos,node,50,8175
nanos,node,60,9681
nanos,node,70,11149
nanos,node,80,13130
nanos,node,90,14303
nanos,node,100,16226
osv,go,10,299
osv,go,20,618
osv,go,30,941
osv,go,40,1256
osv,go,50,1581
osv,go,60,1895
osv,go,70,2216
osv,go,80,2538
osv,go,90,2857
osv,go,100,3173
osv,node,10,563
osv,node,20,1133
osv,node,30,1709
osv,node,40,2294
osv,node,50,2871
osv,node,60,3456
osv,node,70,4034
osv,node,80,4611
osv,node,90,5192
osv,node,100,5774
